Nombre;Enlace
Arresto Sinusal 1;https://go.screenpal.com/watch/cTVFFNnf1kC
Arritmia Sinusal 2;https://go.screenpal.com/watch/cTVFFNnf1k5 
Asistolia;https://go.screenpal.com/watch/cTVFFNnf1kE 
Bloqueo Av 1er Grado;https://go.screenpal.com/watch/cTVFFNnf1kH 
Bloqueo Av 2do Grado 2:1;https://go.screenpal.com/watch/cTVFFNnf1kJ 
Bloqueo Av 2do Grado Mobitz I (wenckebach);https://go.screenpal.com/watch/cTVFFNnf1kd 
Bloqueo Av 2do Grado Mobitz Ii;https://go.screenpal.com/watch/cTVFFNnf1kK 
Bloqueo Av Completo;https://go.screenpal.com/watch/cTVFFNnf1k7 
Bloqueo Av Completo (con Fibrilación Auricular);https://go.screenpal.com/watch/cTVoIEne9UC 
Bloqueo Av Completo (escape De La Unión);https://go.screenpal.com/watch/cTVoIEne9Up 
Bloqueo Av Completo (escape Ventricular);https://go.screenpal.com/watch/cTVoIEne9Uk 
Bloqueo Sino Atrial;https://go.screenpal.com/watch/cTVFFNnf1k8 
Bradicardia Sinusal;https://go.screenpal.com/watch/cTVFFNnf1kP 
Depresión Del Segmento St;https://go.screenpal.com/watch/cTVFFNnf1po 
Elevación Del Segmento St;https://go.screenpal.com/watch/cTVFFNnf1pD 
Fibrilación Auricular Pre Excitada Wpw Antidrómico;https://go.screenpal.com/watch/cTVoo4ne97q 
Fibrilación Auricular_1;https://go.screenpal.com/watch/cTVoovne9KZ 
Fibrilación Auricular_2;https://go.screenpal.com/watch/cTVoIdne9vP 
Fibrilación Auricular_3;https://go.screenpal.com/watch/cTVoovne9KO 
Fibrilación Ventricular;https://go.screenpal.com/watch/cTVFFNnf1pc
Flutter Atrial;https://go.screenpal.com/watch/cTVFFNnf1pV 
Flutter Atrial 2:1;https://go.screenpal.com/watch/cTVooUne9KI 
Flutter Atrial 3:1;https://go.screenpal.com/watch/cTVooUne9K2 
Flutter Atrial 4:1;https://go.screenpal.com/watch/cTVooUne9Ko 
Flutter Ventricular;https://go.screenpal.com/watch/cTVooBne9s6 
Marcapaso Atrial;https://go.screenpal.com/watch/cTVooKne9L5 
Marcapaso Atrial Con Pérdida De Captura;https://go.screenpal.com/watch/cTVooKne9Ld 
Marcapaso Av Secuencial (dual Av);https://go.screenpal.com/watch/cTVooKne9LE 
Marcapaso Que No Captura / No Funcionante 1;https://go.screenpal.com/watch/cTVFFNnf1pi 
Marcapaso Que No Captura / No Funcionante 2;https://go.screenpal.com/watch/cTVFFNnf1p1 
Marcapaso Ventricular Con Bav Completo;https://go.screenpal.com/watch/cTVooKne9LG 
Marcapaso Ventricular Con Fibrilación Auricular;https://go.screenpal.com/watch/cTVooKne9Lm 
Marcapaso Ventricular Con Pérdida De Captura;https://go.screenpal.com/watch/cTVooKne9LH 
Parada Ventricular;https://go.screenpal.com/watch/cTVoIGne9vn 
Ritmo Agónico;https://go.screenpal.com/watch/cTVoIGne9ve 
Ritmo De La Unión;https://go.screenpal.com/watch/cTVooHne9L6 
Ritmo De La Unión Acelerado;https://go.screenpal.com/watch/cTVooHne9LQ 
Ritmo Idioventricular 1;https://go.screenpal.com/watch/cTVFFNnf1pX 
Ritmo Idioventricular 2;https://go.screenpal.com/watch/cTVooJne9LY 
Ritmo Idioventricular Acelerado (riva) 1;https://go.screenpal.com/watch/cTVooJne9Lq
Ritmo Idioventricular Acelerado (riva) 2;https://go.screenpal.com/watch/cTVFFNnf1p6 
Ritmo Nodal (av);https://go.screenpal.com/watch/cTVFFNnf1pI 
Ritmo Nodal (av) Acelerado;https://go.screenpal.com/watch/cTVFFNnf1pl 
Ritmo Sinusal;https://go.screenpal.com/watch/cTVFFNnf1p2 
Taquicardia Atrial Monofocal;https://go.screenpal.com/watch/cTVoowne9Kx 
Taquicardia Atrial Multifocal (mat);https://go.screenpal.com/watch/cTVoowne9Kw 
Taquicardia De La Unión (jt);https://go.screenpal.com/watch/cTVoowne9Ky 
Taquicardia Nodal (reentrada Nodal);https://go.screenpal.com/watch/cTVFFNnf1pF 
Taquicardia Sinusal;https://go.screenpal.com/watch/cTVFFNnf1pq 
Taquicardia Supraventricular;https://go.screenpal.com/watch/cTVFFNnf1pY 
Taquicardia Ventricular ( En Salvas, No Sostenida);https://go.screenpal.com/watch/cTVooBne9sl 
Taquicardia Ventricular Monomórfica;https://go.screenpal.com/watch/cTVFFNnf1pr 
Taquicardia Ventricular Polimórfica;https://go.screenpal.com/watch/cTVooBne9s2 
Torsión  de puntas;https://go.screenpal.com/watch/cTVooBne9sX 
